gene	Family
mcr-3	Polymyxin
mcr-3	Polymyxin
mcr-3	Polymyxin
mcr-3	Polymyxin
mcr-3	Polymyxin
mcr-3	Polymyxin
mcr-3	Polymyxin
mcr-3	Polymyxin
mcr-3	Polymyxin
mcr-3	Polymyxin
mcr-3	Polymyxin
mcr-3	Polymyxin
mcr-3	Polymyxin
mcr-3	Polymyxin
mcr-3	Polymyxin
mcr-3	Polymyxin
mcr-3	Polymyxin
mcr-3	Polymyxin
mcr-3	Polymyxin
mcr-3	Polymyxin
mcr-3	Polymyxin
mcr-3	Polymyxin
mcr-3	Polymyxin
mcr-4	Polymyxin
mcr-4	Polymyxin
mcr-4	Polymyxin
mcr-4	Polymyxin
mcr-4	Polymyxin
mcr-4	Polymyxin
mcr-5	Polymyxin
mcr-5	Polymyxin
mcr-6	Polymyxin
mcr-7	Polymyxin
mcr-8	Polymyxin
mcr-9	Polymyxin
mdf(A)	Multidrug
mdt(A)	Multidrug
mecA	Beta-lactam
mecA	Beta-lactam
mecA	Beta-lactam
