resfinder_code	Sample_ule	Reads_code	Partner	Partner_code	Industry_code	Dataset_ID	UNITN_seq_ID	Industry_type	Industry_type2	Surface	Surface2	rindcore	Room	Ripening.time	Host	Product_type	Total_reads	Contigs	MAGs
Q02.30	WP4-ULEE-Q02-30	Q02-30_R1	ULE	Q02 F2 1	Q02	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q02-30	Cheese_Dairy	Soft_cheese	Final_product	-	rind	Final_product	15 days	Goat	Soft cheese	978211	36095	9
Q03.01	WP4-ULEE-Q03-01	Q03-01_R1	ULE	Q03 A1	Q03	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q03-01	Cheese_Dairy	Semicured_cheese	Non_food_contact	-	-	Processing	-	Sheep	Press paste cheese	205252	53690	8
Q03.05	WP4-ULEE-Q03-05	Q03-05_R1	ULE	Q03 B1	Q03	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q03-05	Cheese_Dairy	Semicured_cheese	Non_food_contact	-	-	Ripening	-	Sheep	Press paste cheese	233343	38664	12
Q03.06	WP4-ULEE-Q03-06	Q03-06_R1	ULE	Q03 B2	Q03	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q03-06	Cheese_Dairy	Semicured_cheese	Food_contact	-	-	Ripening	-	Sheep	Press paste cheese	426685	37866	4
Q03.09	WP4-ULEE-Q03-09	Q03-09_R1	ULE	Q03 C1	Q03	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q03-09	Cheese_Dairy	Semicured_cheese	Non_food_contact	-	-	Packing	-	Sheep	Press paste cheese	283522	49801	7
Q03.10	WP4-ULEE-Q03-10	Q03-10_R1	ULE	Q03 C2	Q03	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q03-10	Cheese_Dairy	Semicured_cheese	Food_contact	-	-	Packing	-	Sheep	Press paste cheese	179362	31790	6
Q03.11	WP4-ULEE-Q03-11	Q03-11_R1	ULE	Q03 A2	Q03	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q03-11	Cheese_Dairy	Semicured_cheese	Food_contact	-	-	Processing	-	Sheep	Press paste cheese	324196	59670	28
Q03.12	WP4-ULEE-Q03-12	Q03-12_R1	ULE	Q03 A3	Q03	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q03-12	Cheese_Dairy	Semicured_cheese	Food_contact	-	-	Processing	-	Sheep	Press paste cheese	73945	8634	7
Q03.13	WP4-ULEE-Q03-13	Q03-13_R1	ULE	Q03 A4	Q03	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q03-13	Cheese_Dairy	Semicured_cheese	Food_contact	-	-	Processing	-	Sheep	Press paste cheese	242347	10959	8
Q03.20	WP4-ULEE-Q03-20	Q03-20_R1	ULE	Q03 A7	Q03	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q03-20	Cheese_Dairy	Semicured_cheese	Raw_materials	Milk	-	Raw_material	-	Sheep	Press paste cheese	1670462	38614	1
Q03.21	WP4-ULEE-Q03-21	Q03-21_R1	ULE	Q03 A5	Q03	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q03-21	Cheese_Dairy	Semicured_cheese	Raw_materials	Whey	-	Raw_material	-	Sheep	Press paste cheese	709794	16781	5
Q03.22	WP4-ULEE-Q03-22	Q03-22_R1	ULE	Q03 A6	Q03	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q03-22	Cheese_Dairy	Semicured_cheese	Raw_materials	Brine	-	Raw_material	-	Sheep	Press paste cheese	201580	1104	1
Q03.23	WP4-ULEE-Q03-23	Q03-23_R1	ULE	Q03 E1 2	Q03	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q03-23	Cheese_Dairy	Semicured_cheese	Before_ripening	-	core	Final_product	-	Sheep	Press paste cheese	520476	3011	3
Q03.24	WP4-ULEE-Q03-24	Q03-24_R1	ULE	Q03 E2 2	Q03	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q03-24	Cheese_Dairy	Semicured_cheese	Before_ripening	-	core	Final_product	-	Sheep	Press paste cheese	397732	2490	2
Q03.25	WP4-ULEE-Q03-25	Q03-25_R1	ULE	Q03 E1 1	Q03	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q03-25	Cheese_Dairy	Semicured_cheese	Before_ripening	-	rind	Final_product	-	Sheep	Press paste cheese	111504	2569	2
Q03.26	WP4-ULEE-Q03-26	Q03-26_R1	ULE	Q03 E2 1	Q03	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q03-26	Cheese_Dairy	Semicured_cheese	Before_ripening	-	rind	Final_product	-	Sheep	Press paste cheese	111284	2959	4
Q03.27	WP4-ULEE-Q03-27	Q03-27_R1	ULE	Q03 F1 2	Q03	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q03-27	Cheese_Dairy	Semicured_cheese	Final_product	-	core	Final_product	60 days	Sheep	Press paste cheese	175165	9338	6
Q03.28	WP4-ULEE-Q03-28	Q03-28_R1	ULE	Q03 F2 2	Q03	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q03-28	Cheese_Dairy	Semicured_cheese	Final_product	-	core	Final_product	60 days	Sheep	Press paste cheese	61920	9341	7
Q03.29	WP4-ULEE-Q03-29	Q03-29_R1	ULE	Q03 F1 1	Q03	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q03-29	Cheese_Dairy	Semicured_cheese	Final_product	-	rind	Final_product	60 days	Sheep	Press paste cheese	462973	22701	2
Q03.30	WP4-ULEE-Q03-30	Q03-30_R1	ULE	Q03 F2 1	Q03	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q03-30	Cheese_Dairy	Semicured_cheese	Final_product	-	rind	Final_product	60 days	Sheep	Press paste cheese	293992	27303	5
